44,56,75,69,75,75,[31,112]
44,56,75,56,75,50,[31,111]
44,56,75,44,75,69,[3,111]
44,56,75,44,75,31,[2,111]
44,56,69,81,75,75,[151,110]
38,50,63,50,75,75,[0,109]
38,50,63,50,69,63,[1,108]
38,50,63,31,75,38,[2,107]
44,56,56,75,69,75,[98,107]
38,50,63,44,75,75,[0,106]
38,44,56,50,69,69,[22,105]
38,50,63,56,69,69,[20,104]
31,38,56,44,63,44,[0,103]
31,38,56,31,63,31,[5,102]
31,38,50,31,56,44,[5,101]
38,44,56,50,63,56,[0,89]
38,44,56,31,63,44,[1,89]
38,44,56,56,56,56,[3,89]
38,50,63,69,63,63,[ 44,82]
31,38,50,50,50,38,[2,79]
38,44,56,56,50,63,[2,79]
38,44,56,56,63,81,[9,77]
25,31,50,50,56,50,[1,77]
31,38,50,69,56,63,[ 44,77]
31,38,50,50,50,63,[27,77]
38,44,56,38,50,44,[0,77]
38,44,56,50,50,63,[1,77]
38,44,56,44,50,50,[1,77]
38,44,56,56,56,56,[8,76]
25,31,56,50,56,31,[12,76]
38,44,56,56,56,56,[16,76]
38,44,56,56,56,69,[40,76]
25,31,56,38,50,38,[5,76]
31,38,50,44,44,38,[2,76]
25,31,50,44,44,50,[20,76]
25,31,50,44,50,38,[9,71]
25,31,56,38,50,38,[7,71]
31,38,50,56,56,56,[25,69]
38,50,63,56,50,69,[1,65]
25,31,50,44,56,50,[3,64]
25,31,50,50,50,44,[0,64]
25,31,50,38,50,38,[5,64]
25,31,44,44,50,44,[5,64]
25,31,44,38,50,44,[5,64]
25,31,56,38,50,50,[0,64]
31,38,56,44,50,38,[0,64]
31,38,56,31,50,50,[4,64]
31,38,56,44,50,50,[8,64]
31,38,56,50,50,50,[7,61]
31,38,50,44,63,63,[20,60]
25,31,44,44,50,19,[1,59]
25,31,44,31,50,25,[33,59]
38,44,56,50,69,56,[0,53]
31,38,44,44,56,44,[0,51]
31,38,44,50,56,44,[3,51]
25,31,50,31,56,50,[0,51]
25,31,44,38,50,50,[0,51]
25,31,44,38,50,38,[14,51]
25,31,50,44,50,31,[0,51]
31,38,50,56,50,69,[0,51]
31,38,50,38,50,50,[1,51]
38,44,56,44,38,50,[7,51]
31,38,50,44,44,44,[0,50]
38,50,50,50,44,50,[2,50]
38,50,50,50,50,69,[5,47]
38,50,44,31,50,63,[5,47]
31,38,50,56,44,56,[14,44]
31,38,44,44,44,50,[2,40]
31,38,44,38,44,44,[2,39]
31,38,44,38,56,44,[5,38]
38,44,44,56,56,56,[0,38]
25,31,44,44,50,31,[7,38]
25,31,38,31,50,38,[3,38]
38,44,44,50,44,63,[7,38]
25,31,44,50,44,38,[7,38]
25,31,25,31,44,25,[0,38]
25,31,38,38,44,31,[2,38]
25,31,38,31,44,31,[2,38]
25,31,38,31,38,25,[0,38]
69,31,44,44,56,44,[1,34]
25,31,44,31,44,31,[2,33]
31,38,44,56,44,38,[2,33]
25,31,31,38,44,44,[7,33]
25,31,44,44,31,31,[5,28]
25,31,44,44,56,44,[7,25]
25,31,44,44,50,44,[4,25]
38,44,44,50,50,63,[7,25]
25,31,38,19,50,31,[1,25]
25,31,31,31,50,25,[1,25]
25,31,44,44,44,31,[6,25]
31,38,44,50,44,50,[0,25]
31,38,44,38,44,50,[1,25]
25,31,44,38,38,38,[0,25]
25,31,44,44,38,31,[7,25]
25,31,38,38,38,31,[0,25]
38,44,38,38,38,56,[0,25]
25,31,38,25,38,50,[3,25]
25,31,38,38,38,44,[4,25]
25,31,31,56,31,31,[25,25]
25,31,38,38,31,31,[0,25]
25,31,38,38,31,31,[0,25]
25,31,44,56,44,44,[17,20]
25,31,38,38,31,31,[5,20]
25,31,38,38,31,31,[0,18]
25,31,38,50,44,50,[8,13]
31,38,25,44,56,50,[2,12]
25,31,38,38,50,44,[7,12]
31,38,38,56,44,56,[1,12]
31,38,38,44,38,44,[7,12]
25,31,25,44,38,44,[1,12]
25,31,38,31,25,19,[7,9]
25,31,25,31,25,38,[5,7]
