# FBs
38,69,25,94,50,25,[5,2,6, 1 ]
44,69,25,94,50,44,[5,5,3, 6 ]
44,69,25,94,50,56,[5,9,6, 4 ]
44,69,31,88,50,44,[4,5,7, 6 ]
44,69,25,88,50,25,[5,3,6, 2 ]
44,69,31,81,50,31,[7,3,7, 2 ]
50,69,31,75,50,19,[6,1,6, 0 ]
56,69,25,75,50,25,[6,2,6, 2 ]
44,69,31,50,50,31,[5,3,5, 4 ]
38,69,25,44,50,44,[4,4,6, 5 ]
44,69,25,44,50,38,[3,4,8, 2 ]
38,69,38,38,31,31,[6,3,7, 2 ]
38,69,38,38,50,25,[3,2,4, 0 ]
44,69,31,38,50,19,[4,1,7, 0 ]
38,69,31,38,63,38,[5,4,7, 6 ]
38,69,31,38,50,25,[5,1,4, 1 ]
44,69,25,38,50,25,[3,1,3, 0 ]
38,69,25,38,50,38,[3,3,6, 2 ]
38,69,44,31,50,63,[5,5,4, 10 ]
38,69,44,31,50,50,[3,6,7, 6 ]
38,69,38,31,81,44,[5,4,5, 0 ]
38,69,38,31,50,25,[4,2,5, 0 ]
38,69,38,31,50,25,[3,2,4, 0 ]
38,69,38,31,50,25,[3,2,7, 0 ]
38,69,38,31,50,25,[3,1,5, 1 ]
38,69,31,31,50,25,[3,2,3, 0 ]
38,69,31,31,50,25,[4,2,5, 1 ]
38,69,50,25,50,25,[5,2,7, 2 ]
38,69,44,25,50,31,[6,4,8, 1 ]
38,69,44,25,50,31,[5,3,8, 4 ]
38,69,38,25,50,56,[3,5,4, 6 ]
38,69,38,25,50,25,[4,1,2, 2 ]
38,69,38,25,50,38,[3,4,7, 0 ]
38,69,38,25,50,25,[4,2,6, 0 ]
38,69,38,25,81,25,[3,2,4, 0 ]
44,69,38,25,50,31,[3,2,5, 0 ]
38,69,38,25,50,38,[3,4,3, 0 ]
38,69,38,25,50,25,[3,2,3, 1 ]
38,69,25,25,50,50,[3,5,8, 2 ]
38,69,44,19,50,25,[2,2,5, 0 ]
38,69,44,19,81,38,[3,4,8, 2 ]
38,69,38,19,50,25,[4,2,6, 2 ]
38,69,31,19,81,25,[2,2,6, 0 ]
38,69,25,19,50,31,[3,3,8, 2 ]
44,69,56,13,81,75,[1,10,12, 8 ]
25,69,19,13,50,50,[1,4,7, 4 ]
