QB1, qb BILLS, Face=0x52, #0,25,69,13,13,56,81,81,81,[3,12, 3 ]
QB1, joe MONTANA, Face=0x1, #16,25,69,19,13,56,81,81,75,[3,12, 2 ]
QB1, warren MOON, Face=0x8b, #1,25,69,19,13,69,75,75,63,[5,11, 3 ]
QB1, qb BROWNS, Face=0x52, #0,25,69,25,13,44,75,50,44,[2,3, 2 ]
QB1, dan MARINO, Face=0x6, #13,25,69,6,13,81,69,63,69,[1,10, 3 ]
QB1, qb EAGLES, Face=0xd4, #0,25,69,56,13,63,69,63,63,[11,9, 0 ]
QB1, dave KRIEG, Face=0x17, #17,25,69,13,13,25,69,69,69,[4,6, 2 ]
QB1, jim EVERETT, Face=0x25, #11,25,69,13,13,56,63,50,44,[4,7, 1 ]
QB1, phil SIMMS, Face=0x34, #11,25,69,13,13,50,63,63,81,[2,10, 3 ]
QB1, steve DE BERG, Face=0xf, #17,25,69,6,13,50,63,56,56,[1,6, 3 ]
QB1, boomer ESIASON, Face=0xa, #7,25,69,19,13,63,56,69,75,[4,9, 2 ]
QB1, vinny TESTAVERDE, Face=0x23, #14,25,69,31,13,31,56,44,44,[5,4, 0 ]
QB1, ken O.BRIEN, Face=0xc, #7,25,69,13,13,56,50,44,38,[2,4, 2 ]
QB1, don MAJKOWSKI, Face=0x3f, #7,25,69,25,13,38,50,50,50,[3,5, 2 ]
QB2, steve YOUNG, Face=0x33, #8,25,69,25,13,56,44,50,56,[4,6, 2 ]
QB1, troy AIKMAN, Face=0x21, #8,25,69,13,13,50,44,50,50,[4,5, 2 ]
QB1, wade WILSON, Face=0x21, #11,25,69,13,13,44,44,44,38,[2,5, 2 ]
QB2, erik WILHELM, Face=0x34, #4,25,69,13,13,44,44,38,38,[2,3, 2 ]
QB2, john FOURCADE, Face=0x28, #11,25,69,13,13,44,44,31,38,[2,3, 2 ]
QB2, scott MITCHELL, Face=0x40, #19,25,69,13,13,44,44,25,50,[2,4, 2 ]
QB2, tony EASON, Face=0x9, #11,25,69,13,13,44,44,25,31,[2,2, 2 ]
QB1, mark RYPIEN, Face=0x16, #11,25,69,6,13,38,44,44,38,[2,5, 3 ]
QB1, rodney PEETE, Face=0xab, #9,25,69,31,13,38,44,31,25,[6,3, 2 ]
QB2, marc WILSON, Face=0x33, #15,25,69,13,13,38,44,25,38,[2,2, 2 ]
QB1, chris MILLER, Face=0x33, #12,25,69,13,13,31,44,50,31,[2,4, 3 ]
QB1, timm ROSENBACH, Face=0x3a, #3,25,69,19,13,31,44,38,31,[5,4, 0 ]
QB2, frank REICH, Face=0x22, #14,25,69,13,13,31,44,25,50,[3,3, 2 ]
QB1, steve WALSH, Face=0x26, #3,25,69,13,13,44,38,50,50,[2,6, 2 ]
QB2, kelly STOUFFER, Face=0x12, #11,25,69,13,13,44,38,38,38,[2,4, 2 ]
QB2, gary KUBIAK, Face=0x17, #8,25,69,13,13,44,38,31,38,[2,3, 2 ]
QB2, mike ELKINS, Face=0x40, #10,25,69,13,13,44,38,31,38,[2,2, 2 ]
