P, rick TUTEN, Face=0x20, #10, 25, 56, 44, 31, 19, 63 ,[3 ]
P, rohn STARK, Face=0x40, #3, 25, 56, 44, 31, 75, 56 ,[11 ]
P, reggie ROBY, Face=0xb6, #4, 25, 56, 44, 31, 75, 38 ,[11 ]
P, brian HANSEN, Face=0x15, #10, 25, 56, 44, 31, 31, 31 ,[4 ]
P, joe PROKOP, Face=0x2e, #6, 25, 56, 44, 31, 69, 75 ,[10 ]
P, lee JOHNSON, Face=0x11, #11, 25, 56, 44, 31, 44, 69 ,[6 ]
P, bryan WAGNER, Face=0x9, #15, 25, 56, 44, 31, 25, 19 ,[3 ]
P, greg MONTGOMERY, Face=0x13, #9, 25, 56, 44, 31, 69, 56 ,[10 ]
LG, b. BLANKENSHIP, Face=0x2a, #60, 25, 69, 38, 44 
P, dan STRYZINSKI, Face=0x21, #4, 25, 56, 44, 31, 38, 50 ,[5 ]
P, mike HORAN, Face=0xd, #2, 25, 56, 44, 31, 81, 75 ,[12 ]
P, bryan BARKER, Face=0x9, #4, 25, 56, 44, 31, 31, 63 ,[4 ]
P, jeff GOSSETT, Face=0x1b, #6, 25, 56, 44, 31, 31, 38 ,[4 ]
P, john KIDD, Face=0x40, #10, 25, 56, 44, 31, 69, 56 ,[10 ]
P, rick DONNELLY, Face=0x2, #3, 25, 56, 44, 31, 44, 63 ,[6 ]
P, kelly GOODBURN, Face=0x20, #2, 25, 56, 44, 31, 25, 50 ,[3 ]
P, sean LANDETA, Face=0x1c, #5, 25, 56, 44, 31, 81, 81 ,[12 ]
P, jeff FEAGLES, Face=0x16, #5, 25, 56, 44, 31, 50, 31 ,[7 ]
P, rich CAMARILLO, Face=0x1b, #16, 25, 56, 44, 31, 75, 81 ,[11 ]
P, mike SAXON, Face=0x20, #4, 25, 56, 44, 31, 56, 75 ,[8 ]
P, maury BUFORD, Face=0x23, #8, 25, 56, 44, 31, 31, 25 ,[4 ]
P, jim ARNOLD, Face=0x7, #6, 25, 56, 44, 31, 50, 56 ,[7 ]
WR2, perry KEMP, Face=0x82, #81, 31, 69, 31, 13, 50, 50 ,[1, 5, 7, 8 ]
P, don BRACKEN, Face=0x2c, #17, 25, 56, 44, 31, 25, 50 ,[3 ]
P, harry NEWSOME, Face=0x20, #18, 25, 56, 44, 31, 25, 44 ,[3 ]
P, mark ROYALS, Face=0x4a, #3, 25, 56, 44, 31, 38, 69 ,[5 ]
P, barry HELTON, Face=0xc, #9, 25, 56, 44, 31, 19, 38 ,[2 ]
P, keith ENGLISH, Face=0x4c, #8, 25, 56, 44, 31, 19, 50 ,[3 ]
P, tommy BARNHARDT, Face=0x44, #6, 25, 56, 44, 31, 63, 44 ,[9 ]
P, scott FUcottF, Face=0xc, #17, 25, 56, 44, 31, 63, 69 ,[9 ]
