# Kickers
56,81,81,31,81,81,[12 ]
56,81,81,31,75,75,[11 ]
56,81,81,31,75,69,[11 ]
56,81,81,31,69,75,[10 ]
56,81,81,31,69,75,[10 ]
56,81,81,31,69,63,[10 ]
56,81,81,31,63,63,[9 ]
56,81,81,31,63,56,[9 ]
56,81,81,31,63,50,[9 ]
56,81,81,31,56,63,[8 ]
56,81,81,31,56,56,[8 ]
56,81,81,31,56,56,[8 ]
56,81,81,31,56,50,[8 ]
56,81,81,31,50,56,[7 ]
56,81,81,31,50,50,[7 ]
56,81,81,31,44,63,[7 ]
56,81,81,31,44,63,[7 ]
56,81,81,31,44,44,[6 ]
56,81,81,31,44,44,[6 ]
56,81,81,31,44,38,[6 ]
56,81,81,31,38,50,[6 ]
56,81,81,31,38,38,[5 ]
56,81,81,31,38,31,[5 ]
56,81,81,31,38,31,[5 ]
56,81,81,31,31,50,[4 ]
56,81,81,31,25,50,[3 ]
56,81,81,31,19,56,[2 ]
56,81,81,31,19,25,[2 ]

